nombre,nivel,turno,sostenimiento,domicilio,ubicacion,colonia,alcaldia,latitud,longitud
INSTITUTO CRISOL,Preescolar,MATUTINO,Particular,AV. JARDIN NO. 271,"AV. JARDIN NO. 271, DEL GAS, AZCAPOTZALCO",DEL GAS (AMPL),AZCAPOTZALCO,19.4660288,-99.1589559
JARDÍN DE NIÑOS ARNOLD GESELL,Preescolar,MATUTINO,Particular,CALLE CINCO No. 318,"CALLE CINCO No. 318, ALDANA, AZCAPOTZALCO",ALDANA,AZCAPOTZALCO,19.4705754,-99.1509988
JARDIN DE NIÑOS TOHUI,Preescolar,MATUTINO,Particular,MACARIO GAXIOLA NO. 15,"MACARIO GAXIOLA NO. 15, SAN PEDRO XALPA AMPLIACION, AZCAPOTZALCO",SAN PEDRO XALPA (AMPL) I,AZCAPOTZALCO,19.4843868,-99.2176303
MODERNIZACION EDUCATIVA,Preescolar,MATUTINO,Particular,CAMPO MALUCO NO. 79,"CAMPO MALUCO NO. 79, SAN ANTONIO, AZCAPOTZALCO",SAN ANTONIO (FRACC),AZCAPOTZALCO,19.4803061,-99.204485
TALLER EDUCATIVO MONTESSORI,Preescolar,MATUTINO,Particular,LOMA DEL PARQUE NO. 182,"LOMA DEL PARQUE NO. 182, LOMAS DE VISTA HERMOSA, CUAJIMALPA DE MORELOS",LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3726982,-99.276752
KINDER LUCY,Preescolar,MATUTINO,Particular,OYAMEL NO. 17,"OYAMEL NO. 17, IZTACALCO, IZTACALCO",INFONAVIT IZTACALCO (U HAB) II,IZTACALCO,19.3819286,-99.106646
JARDIN DE NIÑOS FUEGO NUEVO,Preescolar,MATUTINO,Particular,FRANCISCO I. MADERO NO. 89,"FRANCISCO I. MADERO NO. 89, SAN MIGUEL BARRIO, IZTACALCO",SAN MIGUEL,IZTACALCO,19.3914016,-99.1189874
ESCUELA MEXICANA DIANA LAURA RIOJAS,Preescolar,MATUTINO,Particular,VIADUCTO MIGUEL ALEMAN NO. 393,"VIADUCTO MIGUEL ALEMAN NO. 393, LA CRUZ, IZTACALCO",LA CRUZ,IZTACALCO,19.4052099,-99.1180085
CASA VERDE,Preescolar,MATUTINO,Particular,CALLE 1 NO. 24,"CALLE 1 NO. 24, IZTACALCO, IZTACALCO",PANTITLAN III,IZTACALCO,19.4062238,-99.0695153
COLORES,Preescolar,MATUTINO,Particular,LOMA BONITA NO. 55 (ANTES 70).,"LOMA BONITA NO. 55 (ANTES 70)., SAN JERONIMO ACULCO, LA MAGDALENA CONTRERAS",SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.3167264,-99.2240289
XOCHILHUITL,Preescolar,MATUTINO,Particular,AV. HIDALGO NO. 12,"AV. HIDALGO NO. 12, SAN ANTONIO TECOMITL, MILPA ALTA",EMILIANO ZAPATA 2A,TLAHUAC,19.2091519,-98.9680231
COLEGIO RENACIMIENTO DEL SUR,Preescolar,MATUTINO,Particular,ANTIGUA CARRETTERA XOCH-TULYEH NO. 694,"ANTIGUA CARRETTERA XOCH-TULYEH NO. 694, SANTA MARIA NATIVITAS, XOCHIMILCO",SANTA MARIA NATIVITAS (PBLO),XOCHIMILCO,19.2454791,-99.09167
INSTITUTO JULIO VERNE,Preescolar,MATUTINO,Particular,PROLONG. 16 DE SEPTIEMBRE No. 70,"PROLONG. 16 DE SEPTIEMBRE No. 70, XALTOCAN, XOCHIMILCO",XALTOCAN (BARR),XOCHIMILCO,19.2483916,-99.1047185
COLEGIO EUTERPE,Preescolar,MATUTINO,Particular,2ª CERRADA DE ALDAMA S/N. LT. 4,"2ª CERRADA DE ALDAMA S/N. LT. 4, PASEOS DEL SUR, XOCHIMILCO",SAN JUAN TEPEPAN,XOCHIMILCO,19.2752246,-99.1267174
JARDÍN DE NIÑOS BOSQUE DEL SUR,Preescolar,MATUTINO,Particular,SAN LORENZO NO. 11,"SAN LORENZO NO. 11, BOSQUE RESIDENCIAL DEL SUR, XOCHIMILCO",BOSQUE RESIDENCIAL DEL SUR (FRACC),XOCHIMILCO,19.2804526,-99.1263542
HOGAR ACTIVO DESARROLLO INTEGRAL INFANTIL (H.A.D.I.I.),Preescolar,MATUTINO,Particular,JOSE ANTONIO ALZATE NO. 132,"JOSE ANTONIO ALZATE NO. 132, SANTA MARIA LA RIBERA, CUAUHTEMOC",SANTA MARIA LA RIBERA IV,CUAUHTEMOC,19.4472702,-99.1598268
JARDIN DE NIÑOS REINO INFANTIL,Preescolar,MATUTINO,Particular,CANTON NO. 139 Y 141,"CANTON NO. 139 Y 141, ROMERO RUBIO, VENUSTIANO CARRANZA",ROMERO RUBIO,VENUSTIANO CARRANZA,19.445577,-99.0980006
JARDIN DE NIÑOS MARY PILY,Preescolar,MATUTINO,Particular,JERICO NO.88,"JERICO NO.88, ROMERO RUBIO, VENUSTIANO CARRANZA",ROMERO RUBIO,VENUSTIANO CARRANZA,19.4444119,-99.0964449
COLEGIO MARIANO ESCOBEDO,Preescolar,MATUTINO,Particular,CHIMALPOPOCA NO. 9,"CHIMALPOPOCA NO. 9, SANTA ISABEL TOLA, GUSTAVO A. MADERO",SANTA ISABEL TOLA (PBLO),GUSTAVO A. MADERO,19.4963056,-99.115046
COLEGIO JOSÉ MARTI,Preescolar,MATUTINO,Particular,JACARANDAS MZ. 709 LT. 5,"JACARANDAS MZ. 709 LT. 5, LOMAS SAN LORENZO, IZTAPALAPA",LOMAS DE SAN LORENZO I,IZTAPALAPA,19.3162344,-99.0618084
CENTRO DE DESARROLLO INFANTIL BANUET,Preescolar,MATUTINO,Particular,PLUTARCO ELIAS CALLES NO. 372,"PLUTARCO ELIAS CALLES NO. 372, SAN PEDRO, IZTACALCO",SAN PEDRO IZTACALCO,IZTACALCO,19.392916,-99.1316716
CENTRO DE ESTUDIOS INTEGRADOS LA ABEJITA,Preescolar,MATUTINO,Particular,BALBOA NO. 1103,"BALBOA NO. 1103, PORTALES, BENITO JUAREZ",PORTALES IV,BENITO JUAREZ,19.3592333,-99.1459137
COLEGIO CAROLINGIO,Preescolar,MATUTINO,Particular,CARUSO NO. 115,"CARUSO NO. 115, PERALVILLO, CUAUHTEMOC",PERALVILLO II,CUAUHTEMOC,19.4611252,-99.1321039
CENTRO DE DESARROLLO INFANTIL LOS PATITOS,Preescolar,MATUTINO,Particular,NORTE 9 NO. 112,"NORTE 9 NO. 112, MOCTEZUMA 2A SECCION, VENUSTIANO CARRANZA",MOCTEZUMA 2A SECCION III,VENUSTIANO CARRANZA,19.4287469,-99.10283
INSTITUTO TÉCNICO Y CULTURAL,Preescolar,MATUTINO,Particular,XOCHICALCO NO. 495-487,"XOCHICALCO NO. 495-487, NARVARTE, BENITO JUAREZ",VERTIZ NARVARTE,BENITO JUAREZ,19.3827111,-99.1553297
CENTRO EDUCATIVO INFANTIL YING-YING,Preescolar,MATUTINO,Particular,ANTONIO PLAZA NO. 29,"ANTONIO PLAZA NO. 29, CITLALI, IZTAPALAPA",XALPA III,IZTAPALAPA,19.335177,-99.0218096
JARDIN DE NIÑOS FRAY LUIS DE LEON,Preescolar,MATUTINO,Particular,DONIZETTI NO.167,"DONIZETTI NO.167, VALLEJO, GUSTAVO A. MADERO",VALLEJO I,GUSTAVO A. MADERO,19.4673574,-99.1320066
COLEGIO AXUSCO,Preescolar,MATUTINO,Particular,FRANCISCO PEÑUÑURI NO.5,"FRANCISCO PEÑUÑURI NO.5, SANTO TOMAS AJUSCO, TLALPAN",SANTO TOMAS AJUSCO (PBLO),TLALPAN,19.2180122,-99.2027606
HEROES DE CHAPULTEPEC,Preescolar,MATUTINO,Particular,JESÚS ALMANZA NO. 46,"JESÚS ALMANZA NO. 46, TEPALCATES, IZTAPALAPA",TEPALCATES I,IZTAPALAPA,19.3913415,-99.050628
MANUEL VALDES ACUÑA,Preescolar,MATUTINO,Particular,NUBLO NO. 24  MZA. 8 LT. 1,"NUBLO NO. 24  MZA. 8 LT. 1, GRANJAS CABRERA, TLAHUAC",GRANJAS CABRERA,TLAHUAC,19.297764,-99.0625286
INSTITUTO MARIA GORETTI,Preescolar,MATUTINO,Particular,LAGO SAN MARTIN NO. 10,"LAGO SAN MARTIN NO. 10, ARGENTINA ANTIGUA, MIGUEL HIDALGO",ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.4577307,-99.2008613
CENTRO EDUCATIVO OVIDIO DECROLY,Preescolar,MATUTINO,Particular,FRANCITA No. 162,"FRANCITA No. 162, PETROLERA, AZCAPOTZALCO",PETROLERA,AZCAPOTZALCO,19.4853838,-99.200062
ESCUELAS INFANTILES CONSTRUYE,Preescolar,MATUTINO,Particular,MORELOS NO. 8,"MORELOS NO. 8, SAN MIGUEL TOPILEJO, TLALPAN",SAN MIGUEL TOPILEJO (PBLO),TLALPAN,19.198623,-99.144811
LAZZARO SPALLANZANI,Preescolar,MATUTINO,Particular,ORIENTE 243 C No. 225,"ORIENTE 243 C No. 225, AGRICOLA ORIENTAL, IZTACALCO",AGRICOLA ORIENTAL III,IZTACALCO,19.3896659,-99.0725993
LUIS DONALDO COLOSIO,Preescolar,MATUTINO,Particular,AYUNTAMIENTO NO. 9,"AYUNTAMIENTO NO. 9, SAN LUCAS, IZTAPALAPA",SAN PABLO (BARR),IZTAPALAPA,19.3585752,-99.0919117
AKETZALI,Preescolar,MATUTINO,Particular,CALLE 1 No. 12,"CALLE 1 No. 12, HERON PROAL, ALVARO OBREGON",HERON PROAL,ALVARO OBREGON,19.3592913,-99.2304944
JARDÍN DE NIÑOS CANDY LAND,Preescolar,MATUTINO,Particular,ALMACENES NO.112 P.B. EDIFICIO QUERETARO,"ALMACENES NO.112 P.B. EDIFICIO QUERETARO, UNIDAD NONOALCO TLATELOLCO, CUAUHTEMOC",NONOALCO-TLATELOLCO (U HAB) III,CUAUHTEMOC,19.4504412,-99.135827
CENTRO DE EDUCACIÓN PERSONALIZADA,Preescolar,MATUTINO,Particular,TEZOQUIPA NO. 26,"TEZOQUIPA NO. 26, LA JOYA, TLALPAN",TLALPAN CENTRO,TLALPAN,19.2830663,-99.167538
COLEGIO OVIEDO SCHONTHAL,Preescolar,MATUTINO,Particular,CALZADA DE TLALPAN NO. 5090,"CALZADA DE TLALPAN NO. 5090, LA JOYA, TLALPAN",LA JOYA,TLALPAN,19.278011,-99.1665628
LICEO EUROPEO CAMPUS SUR,Preescolar,MATUTINO,Particular,CORREGIDORA NO. 499,"CORREGIDORA NO. 499, MIGUEL HIDALGO, TLALPAN",AMPLIACION MIGUEL HIDALGO 2A SECC,TLALPAN,19.280555,-99.1932098
COLEGIO GESELL,Preescolar,MATUTINO,Particular,MONTECRISTO NO. 3,"MONTECRISTO NO. 3, CUAUHTEMOC, LA MAGDALENA CONTRERAS",CUAUHTEMOC,LA MAGDALENA CONTRERAS,19.318819,-99.2443712
INSTITUTO MONTINI,Preescolar,MATUTINO,Particular,LOS JUAREZ NO. 31,"LOS JUAREZ NO. 31, SAN JOSE INSURGENTES, BENITO JUAREZ",SAN JOSE INSURGENTES,BENITO JUAREZ,19.3704856,-99.1866389
INSTITUTO GUADALUPE INSURGENTES,Preescolar,MATUTINO,Particular,ING. BARTOLO VERGARA NO. 32,"ING. BARTOLO VERGARA NO. 32, GUADALUPE INSURGENTES, GUSTAVO A. MADERO",GUADALUPE INSURGENTES,GUSTAVO A. MADERO,19.4718011,-99.1345034
KEIKO,Preescolar,MATUTINO,Particular,FELIPE ANGELES NO. 91,"FELIPE ANGELES NO. 91, BELLA VISTA, ALVARO OBREGON",BELLA VISTA,ALVARO OBREGON,19.3947534,-99.1945705
COLEGIO LIBERTADORES DE AMERICA,Preescolar,MATUTINO,Particular,SAN FERNANDO NO. 82 B,"SAN FERNANDO NO. 82 B, TLALPAN, TLALPAN",TLALPAN CENTRO,TLALPAN,19.2951731,-99.1801926
KINDER MAFALDA,Preescolar,MATUTINO,Particular,LAZARO CARDENAS NO. 8,"LAZARO CARDENAS NO. 8, LA MALINCHE, LA MAGDALENA CONTRERAS",LA MALINCHE,LA MAGDALENA CONTRERAS,19.3257759,-99.2456853
MI KINDER,Preescolar,MATUTINO,Particular,BOULEVARD DE LA LUZ NO. 232,"BOULEVARD DE LA LUZ NO. 232, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3168603,-99.2131155
COLEGIO QUIRINO MENDOZA Y CORTES,Preescolar,MATUTINO,Particular,MELCHOR OCAMPO NO. 36,"MELCHOR OCAMPO NO. 36, TLÁHUAC, TLAHUAC",SANTIAGO ZAPOTITLAN (PBLO),TLAHUAC,19.2990434,-99.037130199999993
SIMON BOLIVAR,Preescolar,MATUTINO,Particular,CAMINO A SANTA TERESA NO. 1560,"CAMINO A SANTA TERESA NO. 1560, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.309494,-99.2150399
COLEGIO DEL TEPEYAC CENTRO EDUCATIVO PREESCOLAR,Preescolar,MATUTINO,Particular,CALLAO NO. 770,"CALLAO NO. 770, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,19.4897789,-99.1254464
JARDIN DE NIÑOS YEYO,Preescolar,MATUTINO,Particular,JOJUTLA NO. 130,"JOJUTLA NO. 130, LA JOYA, TLALPAN",LA JOYA,TLALPAN,19.2833273,-99.164253
INSTITUTO BILINGÜE AXAYACATL CUITLAHUAC,Preescolar,MATUTINO,Particular,JOSÉ MARÍA FACHA MZ. 5 LT. 26,"JOSÉ MARÍA FACHA MZ. 5 LT. 26, SANTA MARTHA ACATITLA AMPLIACION, IZTAPALAPA",SANTA MARTHA ACATITLA SUR (AMPL),IZTAPALAPA,19.3616517,-99.0229387
JARDIN DE NIÑOS DEL VALLE,Preescolar,MATUTINO,Particular,JUSTO SIERRA NO. 190,"JUSTO SIERRA NO. 190, ZONA ESCOLAR, GUSTAVO A. MADERO",ZONA ESCOLAR II,GUSTAVO A. MADERO,19.5408789,-99.1461809
JARDIN DE NIÑOS ROSITA FRESITA,Preescolar,MATUTINO,Particular,PASO REAL LOTE 1,"PASO REAL LOTE 1, LA PALMITA, ALVARO OBREGON",LA PALMITA,ALVARO OBREGON,19.384429,-99.2264651
COLEGIO HARDEN,Preescolar,MATUTINO,Particular,DR. VERTIZ  NO. 1075,"DR. VERTIZ  NO. 1075, NARVARTE, BENITO JUAREZ",VERTIZ NARVARTE,BENITO JUAREZ,19.3824047,-99.152988
CENTRO DE ATENCION PREESCOLAR ZAPOTITLAN,Preescolar,MATUTINO,Particular,INDEPENDENCIA NO.6,"INDEPENDENCIA NO.6, ZAPOTITLA, TLAHUAC",SAN MIGUEL ZAPOTITLA,TLAHUAC,19.306715,-99.0413886
JARDIN DE NIÑOS TOTZIN,Preescolar,MATUTINO,Particular,RET. 1 DE SUR 28 No. 9,"RET. 1 DE SUR 28 No. 9, AGRICOLA ORIENTAL, IZTACALCO",AGRICOLA ORIENTAL V,IZTACALCO,19.3930654,-99.0695198
JARDIN DE NIÑOS GIRASOL,Preescolar,MATUTINO,Particular,BOULEVARD DEL TEMOLUCO NO. 134,"BOULEVARD DEL TEMOLUCO NO. 134, ACUEDUCTO DE GUADALUPE, GUSTAVO A. MADERO",ACUEDUCTO DE GUADALUPE (U HAB),GUSTAVO A. MADERO,19.5241717,-99.1470916
JARDÍN DE NIÑOS CARMEL,Preescolar,MATUTINO,Particular,RANCHO ESTANZUELA NO. 130,"RANCHO ESTANZUELA NO. 130, HACIENDAS DE COYOACAN, COYOACAN",HACIENDAS DE COYOACAN (FRACC),COYOACAN,19.3043644,-99.1109678
KINDER LAS AMERICAS,Preescolar,MATUTINO,Particular,CASMA NO. 609,"CASMA NO. 609, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,19.4889037,-99.1363841
KINDER DEL PILAR,Preescolar,MATUTINO,Particular,SIERRA VISTA NO. 302,"SIERRA VISTA NO. 302, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA II,GUSTAVO A. MADERO,19.4972272,-99.1275803
CASTILLITO,Preescolar,MATUTINO,Particular,DELTAS NO. 24 MZA. 15 LT. 18,"DELTAS NO. 24 MZA. 15 LT. 18, ACUEDUCTO DE GUADALUPE, GUSTAVO A. MADERO",ACUEDUCTO DE GUADALUPE (RDCIAL),GUSTAVO A. MADERO,19.5240796,-99.1480628
COLEGIO MICHAEL FARADAY,Preescolar,MATUTINO,Particular,AGUASCALIENTES NO. 284-286 MZ. 66 LT.5-4,"AGUASCALIENTES NO. 284-286 MZ. 66 LT.5-4, CHALMA DE GUADALUPE, GUSTAVO A. MADERO",NA,NA,NA,NA
RAFAEL SOLANA,Preescolar,MATUTINO,Particular,PROYECTO DE EXPLOTACION MZA. 9 LOTE 9 Y 10,"PROYECTO DE EXPLOTACION MZA. 9 LOTE 9 Y 10, SOLIDARIDAD NACIONAL, GUSTAVO A. MADERO",SOLIDARIDAD NACIONAL,GUSTAVO A. MADERO,19.533705,-99.1540146
FORMACION INTEGRAL EDUCATIVA Y DESARROLLO,Preescolar,MATUTINO,Particular,J. ROSAS (E.ZAPATA) NO. 385 MZA. A LT. 7,"J. ROSAS (E.ZAPATA) NO. 385 MZA. A LT. 7, BENITO JUAREZ, GUSTAVO A. MADERO",TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.4873329,-99.1236134
CENTRO ESCOLAR LANCASTER,Preescolar,MATUTINO,Particular,HACIENDA ESCOLASTICA NO. 69,"HACIENDA ESCOLASTICA NO. 69, LA PROVIDENCIA, AZCAPOTZALCO",EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4958042,-99.2110661
COLEGIO INGLES MICHAEL FARADAY,Preescolar,MATUTINO,Particular,LAGUNA DE TAMIAHUA NO. 110,"LAGUNA DE TAMIAHUA NO. 110, ANAHUAC I, MIGUEL HIDALGO",ANAHUAC I,MIGUEL HIDALGO,19.4464481,-99.1744861
CENTRO DE DESARROLLO INFANTIL SIGLO XXII,Preescolar,MATUTINO,Particular,PROGRESO NO. 94,"PROGRESO NO. 94, ESCANDON, MIGUEL HIDALGO",ESCANDON I,MIGUEL HIDALGO,19.4046875,-99.1797133
WESTHILL INSTITUTE,Preescolar,MATUTINO,Particular,MONTES CARPATOS NO. 940,"MONTES CARPATOS NO. 940, LOMAS VIRREYES, MIGUEL HIDALGO",LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4072132,-99.2213919
COLEGIO ST. JOHN'S,Preescolar,MATUTINO,Particular,CALZADA DE LOS TENORIOS NO. 80,"CALZADA DE LOS TENORIOS NO. 80, RAMOS MILLAN COAPA, TLALPAN",COAPA 2A SECCION-RAMOS MILLAN,TLALPAN,19.2993797,-99.1201207
JARDÍN DE NIÑOS GABILONDO SOLER - CRICRI,Preescolar,MATUTINO,Particular,AYUNTAMIENTO NO. 135,"AYUNTAMIENTO NO. 135, LA FAMA, TLALPAN",LA  LONJA,TLALPAN,19.2900194,-99.1792792
HAPPY KING,Preescolar,MATUTINO,Particular,PLAYA HERMOSA NO. 575,"PLAYA HERMOSA NO. 575, REFORMA IZTACIHUATL SUR, IZTACALCO",REFORMA IZTACCIHUATL SUR,IZTACALCO,19.3767384,-99.1236343
CULTURAS DE MÉXICO,Preescolar,MATUTINO,Particular,MANUEL M. LOPEZ S/N MZA. 79 LT. 10,"MANUEL M. LOPEZ S/N MZA. 79 LT. 10, BARRIO SANTA ANA ZAPOTITLAN, TLAHUAC",UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,TLAHUAC,19.3025044,-99.0440041
LICEO INFANTIL MODERNO,Preescolar,MATUTINO,Particular,FALSTAFF ( ANTES INDEPENDENCIA ) NO. 268,"FALSTAFF ( ANTES INDEPENDENCIA ) NO. 268, LA NOPALERA, TLAHUAC",LA NOPALERA,TLAHUAC,19.2967749,-99.0543938
JARDIN DE NIÑOS Y NIÑAS GARABATOS,Preescolar,MATUTINO,Particular,PESCADO NO. 79 MZA. 34 LT. 19,"PESCADO NO. 79 MZA. 34 LT. 19, DEL MAR, TLAHUAC",DEL MAR SUR,TLAHUAC,19.2902609,-99.0582577
JARDIN DE NIÑOS SHADDAY,Preescolar,MATUTINO,Particular,RET. 11 GENARO GARCIA NO. 10 GPO.19 E-32,"RET. 11 GENARO GARCIA NO. 10 GPO.19 E-32, JARDIN BALBUENA, VENUSTIANO CARRANZA",JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.4170148,-99.1087534
JARDIN DE NIÑOS VIENA,Preescolar,MATUTINO,Particular,XINANTECATL NO. 93,"XINANTECATL NO. 93, ARENAL 3A SECCION, VENUSTIANO CARRANZA",EL ARENAL 4A SECCION,VENUSTIANO CARRANZA,19.4289864,-99.0562092
INSTITUTO PEDAGOGICO INFANTIL MÉXICO,Preescolar,MATUTINO,Particular,PROCURADURIA GRAL. DE JUSTICIA NO. 234,"PROCURADURIA GRAL. DE JUSTICIA NO. 234, FEDERAL, VENUSTIANO CARRANZA",FEDERAL,VENUSTIANO CARRANZA,19.4215717,-99.0867687
SEMILLITAS DEL INSTITUTO INGLES MEXICANO,Preescolar,MATUTINO,Particular,RANCHO DEL VERGEL NO. 130,"RANCHO DEL VERGEL NO. 130, PRADO COAPA, TLALPAN",FLORESTA-PRADO-VERGEL COAPA,TLALPAN,19.3023008,-99.1275646
JARDIN DE NIÑOS LA ESMERALDA,Preescolar,MATUTINO,Particular,NORTE 94 NO. 8310,"NORTE 94 NO. 8310, LA ESMERALDA I, GUSTAVO A. MADERO",LA ESMERALDA II,GUSTAVO A. MADERO,19.484127,-99.086565
JARDÍN DE NIÑOS CHRIS,Preescolar,MATUTINO,Particular,MASSENET No. 144,"MASSENET No. 144, PERALVILLO, CUAUHTEMOC",PERALVILLO I,CUAUHTEMOC,19.4641696,-99.1381459
MAGICO DE LOS NIÑOS,Preescolar,MATUTINO,Particular,14 DE JULIO (ANTES CAPITALES) NO. 43,"14 DE JULIO (ANTES CAPITALES) NO. 43, SAN MARCOS, XOCHIMILCO",JARDINES DEL SUR,XOCHIMILCO,19.2613808,-99.1142091
MAESTRO CARLOS CHAVEZ,Preescolar,MATUTINO,Particular,PROLONGACION DIVISION DEL NORTE NO. 5466,"PROLONGACION DIVISION DEL NORTE NO. 5466, SAN MARCOS, XOCHIMILCO",SAN MARCOS (BARR),XOCHIMILCO,19.2619816,-99.112797
JARDIN DE NIÑOS PALAS ATENEA,Preescolar,MATUTINO,Particular,5 DE MAYO NO. 111,"5 DE MAYO NO. 111, SANTIAGO TEPALCATLAPAN, XOCHIMILCO",XALTOCAN (BARR),XOCHIMILCO,19.2571104,-99.1035259
COLEGIO CUAUHTZIN,Preescolar,MATUTINO,Particular,HOMBRES ILUSTRES NO.640,"HOMBRES ILUSTRES NO.640, SANTA CECILIA TEPETLAPA, XOCHIMILCO",SANTA CECILIA TEPETLAPA (PBLO),XOCHIMILCO,19.2202781,-99.097539
COLEGIO AMEYALLI,Preescolar,MATUTINO,Particular,JACARANDAS NO.61,"JACARANDAS NO.61, SAN GREGORIO ATLAPULCO, XOCHIMILCO",SAN GREGORIO ATLAPULCO (PBLO),XOCHIMILCO,19.2531573,-99.0557268
CENTRO EDUCATIVO ALFRED ADLER,Preescolar,MATUTINO,Particular,SUR 112 A  NO. 27,"SUR 112 A  NO. 27, COVE, ALVARO OBREGON",COVE,ALVARO OBREGON,19.4020129,-99.1971286
FRAY GARCÍA DE CISNEROS,Preescolar,MATUTINO,Particular,INSURGENTES NORTE NO. 1590,"INSURGENTES NORTE NO. 1590, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,19.4889234,-99.1236956
ENRIQUE DUNANT,Preescolar,MATUTINO,Particular,BOULEVARD DEL TEMOLUCO NO. 108,"BOULEVARD DEL TEMOLUCO NO. 108, ACUEDUCTO DE GUADALUPE, GUSTAVO A. MADERO",ACUEDUCTO DE GUADALUPE (U HAB),GUSTAVO A. MADERO,19.5237577,-99.146137
CENTRO ESCOLAR EDUCATIVO HARLEQUIN,Preescolar,MATUTINO,Particular,AV. LOMAS DE GUADALUPE NO. 290,"AV. LOMAS DE GUADALUPE NO. 290, LOMAS DE GUADALUPE FRACCIONAMIENTO, ALVARO OBREGON",LOMAS DE AXOMIATLA,ALVARO OBREGON,19.3408115,-99.2480115
LAS HORAS FELICES,Preescolar,MATUTINO,Particular,ZACATECAS  NO. 2,"ZACATECAS  NO. 2, PROVIDENCIA, GUSTAVO A. MADERO",PROVIDENCIA II,GUSTAVO A. MADERO,19.4837595,-99.0704637
HIGHLANDS INTERNATIONAL,Preescolar,MATUTINO,Particular,FARALLON NO. 125,"FARALLON NO. 125, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3198044,-99.1983651
GREAT KIDS KINDERGARDEN,Preescolar,MATUTINO,Particular,FARALLON NO. 151,"FARALLON NO. 151, JARDINES DEL PEDREGAL, ALVARO OBREGON",JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3198108,-99.1996766
LECHE KIDS SCHOOL,Preescolar,MATUTINO,Particular,AV. 539 NO. 105,"AV. 539 NO. 105, SAN JUAN DE ARAGON, GUSTAVO A. MADERO",SAN JUAN DE ARAGON 2A SECCION (U HAB) I,GUSTAVO A. MADERO,19.4550748,-99.0881414
CENTRO DE EDUCACIÓN PREESCOLAR SIGLO XXI,Preescolar,MATUTINO,Particular,RETORNO 35 DE CECILIO ROBELO NO. 52,"RETORNO 35 DE CECILIO ROBELO NO. 52, JARDIN BALBUENA, VENUSTIANO CARRANZA",JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.420522,-99.105477
INSTITUTO BAJA CALIFORNIA,Preescolar,MATUTINO,Particular,GUANABANA NO. 73,"GUANABANA NO. 73, NUEVA SANTA MARIA, AZCAPOTZALCO",NUEVA SANTA MARIA,AZCAPOTZALCO,19.4602848,-99.1687304
JARDIN DE NIÑOS DE LA ESCUELA INTERNACIONAL,Preescolar,MATUTINO,Particular,CRUZ BLANCA NO. 15,"CRUZ BLANCA NO. 15, DEL CARMEN, COYOACAN",DEL CARMEN,COYOACAN,19.3519417,-99.153149
JARDIN DE NIÑOS OCEANO,Preescolar,MATUTINO,Particular,TRUCHA NO 57,"TRUCHA NO 57, CARACOL, VENUSTIANO CARRANZA",CARACOL,VENUSTIANO CARRANZA,19.4272003,-99.0714169
CENTRO DE DESARROLLO INFANTIL SOLECITO,Preescolar,MATUTINO,Particular,SAN ALBERTO MZA. 579 LT.4,"SAN ALBERTO MZA. 579 LT.4, SANTA URSULA COAPA, COYOACAN",PEDREGAL DE SANTA URSULA IV,COYOACAN,19.3150249,-99.1515655
CENTRO ESCOLAR BRITANNIA,Preescolar,MATUTINO,Particular,CORDOBANES NO. 32,"CORDOBANES NO. 32, SAN JOSE INSURGENTES, BENITO JUAREZ",SAN JOSE INSURGENTES,BENITO JUAREZ,19.3658384,-99.1864272
COLEGIO WESTMOUNT,Preescolar,MATUTINO,Particular,DR. JOSE MARIA VERTIZ NO. 1221,"DR. JOSE MARIA VERTIZ NO. 1221, VERTIZ NARVARTE, BENITO JUAREZ",LETRAN VALLE,BENITO JUAREZ,19.3771717,-99.1539614
JARDIN DE NIÑOS SIMBA,Preescolar,MATUTINO,Particular,AVENIDA JARDIN  NO. 41,"AVENIDA JARDIN  NO. 41, TLATILCO, AZCAPOTZALCO",TLATILCO,AZCAPOTZALCO,19.4579127,-99.1637565
